response_value	CHN	stimuli_presented	presented
4	KOR	S28_In-Every-Major	In-Every-Major
5	ENG	S08_Try-To-Recall	Try-To-Recall
5	CHN	S02_Too-Much-Curiosity	Too-Much-Curiosity
6	ENG	S03_Tradition-Requires-Parental	Tradition-Requires-Parental
3	KOR	S19_Military-Personnel-Are	Military-Personnel-Are
5	CHN	S22_Gregory-And-Tom	Gregory-And-Tom
3	KOR	S28_Those-Answers-Will	Those-Answers-Will
3	CHN	S04_Almost-All-Colleges	Almost-All-Colleges
5	KOR	S28_Pam-Gives-Driving	Pam-Gives-Driving
6	ENG	S08_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S09_Dont-Ask-Me	Dont-Ask-Me
5	CHN	S04_He-Shrugged-Casually	He-Shrugged-Casually
6	ENG	S03_Military-Personnel-Are	Military-Personnel-Are
6	ENG	S03_An-Adult-Male	An-Adult-Male
4	KOR	S25_The-Surplus-Shoes	The-Surplus-Shoes
6	ENG	S05_Ralph-Prepared-Red	Ralph-Prepared-Red
2	KOR	S19_Nothing-Has-Been	Nothing-Has-Been
5	CHN	S26_Dont-Ask-Me	Dont-Ask-Me
3	CHN	S04_Did-Shawn-Catch	Did-Shawn-Catch
3	KOR	S28_Military-Personnel-Are	Military-Personnel-Are
2	CHN	S22_They-All-Like	They-All-Like
3	ENG	S07_The-Small-Boy	The-Small-Boy
6	ENG	S03_She-Had-Your	She-Had-Your
2	CHN	S21_Nothing-Has-Been	Nothing-Has-Been
2	KOR	S24_Combine-All-The	Combine-All-The
6	ENG	S03_It-Took-Him	It-Took-Him
3	CHN	S02_Tradition-Requires-Parental	Tradition-Requires-Parental
2	KOR	S23_They-Enjoy-It	They-Enjoy-It
5	ENG	S08_Dont-Ask-Me	Dont-Ask-Me
4	ENG	S08_She-Had-Your	She-Had-Your
5	ENG	S03_They-All-Like	They-All-Like
6	CHN	S02_It-Took-Him	It-Took-Him
6	ENG	S09_Of-Course-Dear	Of-Course-Dear
4	CHN	S21_The-Small-Boy	The-Small-Boy
6	ENG	S09_Those-Answers-Will	Those-Answers-Will
3	CHN	S22_In-Every-Major	In-Every-Major
4	KOR	S23_Of-Course-Dear	Of-Course-Dear
4	KOR	S25_Only-The-Most	Only-The-Most
2	KOR	S19_A-Monstrous-Shadow	A-Monstrous-Shadow
6	ENG	S09_Combine-All-The	Combine-All-The
3	KOR	S25_In-Every-Major	In-Every-Major
3	CHN	S02_Before-Thursdays-Exam	Before-Thursdays-Exam
2	CHN	S22_How-Oily-Do	How-Oily-Do
1	CHN	S21_Try-To-Recall	Try-To-Recall
1	CHN	S21_Only-The-Most	Only-The-Most
6	ENG	S05_Only-The-Most	Only-The-Most
5	CHN	S02_They-All-Like	They-All-Like
3	CHN	S04_An-Adult-Male	An-Adult-Male
5	ENG	S08_Did-Shawn-Catch	Did-Shawn-Catch
5	KOR	S28_In-The-Long	In-The-Long
4	KOR	S28_Nothing-Has-Been	Nothing-Has-Been
5	ENG	S07_Continental-Drift-Is	Continental-Drift-Is
4	KOR	S25_The-Small-Boy	The-Small-Boy
6	ENG	S08_Are-You-Looking	Are-You-Looking
2	KOR	S28_Ralph-Prepared-Red	Ralph-Prepared-Red
6	CHN	S26_It-Took-Him	It-Took-Him
6	ENG	S05_Gregory-And-Tom	Gregory-And-Tom
5	CHN	S26_They-All-Like	They-All-Like
1	CHN	S21_They-Were-Already	They-Were-Already
6	CHN	S26_Of-Course-Dear	Of-Course-Dear
6	ENG	S03_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S02_The-Moisture-In	The-Moisture-In
3	CHN	S22_Thus-Technical-Efficiency	Thus-Technical-Efficiency
4	KOR	S19_They-Were-Already	They-Were-Already
1	KOR	S23_Military-Personnel-Are	Military-Personnel-Are
6	ENG	S05_Almost-All-Colleges	Almost-All-Colleges
2	CHN	S21_He-Ate-Four	He-Ate-Four
4	KOR	S24_Steve-Collects-Rare	Steve-Collects-Rare
4	CHN	S04_How-Oily-Do	How-Oily-Do
6	ENG	S08_Combine-All-The	Combine-All-The
3	KOR	S28_Carl-Lives-In	Carl-Lives-In
3	KOR	S28_They-All-Like	They-All-Like
6	ENG	S09_In-The-Long	In-The-Long
6	ENG	S05_In-Every-Major	In-Every-Major
1	KOR	S23_The-Small-Boy	The-Small-Boy
2	KOR	S24_How-Oily-Do	How-Oily-Do
2	CHN	S04_The-Surplus-Shoes	The-Surplus-Shoes
6	ENG	S08_How-Permanent-Are	How-Permanent-Are
1	KOR	S23_Thus-Technical-Efficiency	Thus-Technical-Efficiency
3	CHN	S22_Dont-Ask-Me	Dont-Ask-Me
6	CHN	S02_Are-You-Looking	Are-You-Looking
5	KOR	S25_The-Tooth-Fairy	The-Tooth-Fairy
4	ENG	S08_Nothing-Has-Been	Nothing-Has-Been
5	ENG	S08_Military-Personnel-Are	Military-Personnel-Are
6	CHN	S02_How-Permanent-Are	How-Permanent-Are
5	KOR	S25_Any-Organism-That	Any-Organism-That
5	CHN	S21_Ralph-Prepared-Red	Ralph-Prepared-Red
2	KOR	S24_Any-Organism-That	Any-Organism-That
6	ENG	S09_They-Enjoy-It	They-Enjoy-It
3	CHN	S26_Carl-Lives-In	Carl-Lives-In
3	CHN	S26_The-Small-Boy	The-Small-Boy
2	KOR	S23_Too-Much-Curiosity	Too-Much-Curiosity
3	CHN	S04_In-The-Long	In-The-Long
6	ENG	S09_Nothing-Has-Been	Nothing-Has-Been
2	CHN	S02_He-Shrugged-Casually	He-Shrugged-Casually
4	CHN	S02_In-The-Long	In-The-Long
6	ENG	S05_Of-Course-Dear	Of-Course-Dear
2	KOR	S23_Ralph-Prepared-Red	Ralph-Prepared-Red
2	CHN	S02_He-Ate-Four	He-Ate-Four
5	ENG	S07_How-Oily-Do	How-Oily-Do
6	KOR	S25_He-Shrugged-Casually	He-Shrugged-Casually
5	KOR	S25_Steve-Collects-Rare	Steve-Collects-Rare
3	KOR	S23_Before-Thursdays-Exam	Before-Thursdays-Exam
4	KOR	S25_Did-Shawn-Catch	Did-Shawn-Catch
6	ENG	S05_Dont-Ask-Me	Dont-Ask-Me
6	ENG	S03_Combine-All-The	Combine-All-The
6	ENG	S05_Combine-All-The	Combine-All-The
3	KOR	S19_Pam-Gives-Driving	Pam-Gives-Driving
6	ENG	S09_In-Every-Major	In-Every-Major
3	CHN	S04_Steve-Collects-Rare	Steve-Collects-Rare
6	CHN	S22_The-Small-Boy	The-Small-Boy
6	ENG	S07_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S05_Any-Organism-That	Any-Organism-That
2	KOR	S23_How-Oily-Do	How-Oily-Do
5	KOR	S28_Gregory-And-Tom	Gregory-And-Tom
1	KOR	S23_Almost-All-Colleges	Almost-All-Colleges
2	KOR	S19_In-Every-Major	In-Every-Major
4	CHN	S26_He-Shrugged-Casually	He-Shrugged-Casually
2	CHN	S22_Try-To-Recall	Try-To-Recall
3	ENG	S08_It-Took-Him	It-Took-Him
3	KOR	S28_Before-Thursdays-Exam	Before-Thursdays-Exam
3	KOR	S28_It-Took-Him	It-Took-Him
3	CHN	S04_A-Monstrous-Shadow	A-Monstrous-Shadow
6	ENG	S08_The-Small-Boy	The-Small-Boy
6	ENG	S09_They-All-Like	They-All-Like
6	ENG	S05_Those-Answers-Will	Those-Answers-Will
6	ENG	S03_Carl-Lives-In	Carl-Lives-In
2	KOR	S19_The-Tooth-Fairy	The-Tooth-Fairy
4	CHN	S04_Continental-Drift-Is	Continental-Drift-Is
3	KOR	S19_Dont-Ask-Me	Dont-Ask-Me
6	ENG	S08_A-Monstrous-Shadow	A-Monstrous-Shadow
6	CHN	S21_Of-Course-Dear	Of-Course-Dear
2	KOR	S19_Try-To-Recall	Try-To-Recall
6	CHN	S02_The-Small-Boy	The-Small-Boy
5	KOR	S28_They-Enjoy-It	They-Enjoy-It
3	KOR	S25_They-Enjoy-It	They-Enjoy-It
5	CHN	S26_Gently-Place-Jims	Gently-Place-Jims
6	ENG	S03_Are-You-Looking	Are-You-Looking
4	KOR	S28_They-Were-Already	They-Were-Already
6	ENG	S03_Pam-Gives-Driving	Pam-Gives-Driving
6	ENG	S07_Gently-Place-Jims	Gently-Place-Jims
4	KOR	S19_Gregory-And-Tom	Gregory-And-Tom
6	ENG	S03_The-Moisture-In	The-Moisture-In
6	ENG	S05_How-Oily-Do	How-Oily-Do
1	KOR	S24_Did-Shawn-Catch	Did-Shawn-Catch
6	ENG	S03_In-The-Long	In-The-Long
6	ENG	S09_Carl-Lives-In	Carl-Lives-In
6	ENG	S07_Did-Shawn-Catch	Did-Shawn-Catch
6	ENG	S07_Gregory-And-Tom	Gregory-And-Tom
5	CHN	S22_It-Took-Him	It-Took-Him
6	ENG	S07_The-Surplus-Shoes	The-Surplus-Shoes
3	CHN	S02_Those-Answers-Will	Those-Answers-Will
4	KOR	S28_He-Ate-Four	He-Ate-Four
6	ENG	S09_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S03_Almost-All-Colleges	Almost-All-Colleges
5	ENG	S03_Thus-Technical-Efficiency	Thus-Technical-Efficiency
6	ENG	S07_Try-To-Recall	Try-To-Recall
2	KOR	S23_A-Monstrous-Shadow	A-Monstrous-Shadow
5	KOR	S25_Too-Much-Curiosity	Too-Much-Curiosity
4	CHN	S22_Those-Answers-Will	Those-Answers-Will
5	ENG	S08_Carl-Lives-In	Carl-Lives-In
2	KOR	S23_They-Were-Already	They-Were-Already
5	ENG	S08_He-Ate-Four	He-Ate-Four
5	CHN	S22_They-Enjoy-It	They-Enjoy-It
6	ENG	S09_The-Small-Boy	The-Small-Boy
6	CHN	S26_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S03_A-Monstrous-Shadow	A-Monstrous-Shadow
6	ENG	S05_The-Surplus-Shoes	The-Surplus-Shoes
4	CHN	S02_A-Monstrous-Shadow	A-Monstrous-Shadow
2	KOR	S23_In-The-Long	In-The-Long
6	ENG	S09_The-Moisture-In	The-Moisture-In
1	KOR	S23_Nothing-Has-Been	Nothing-Has-Been
6	ENG	S03_The-Tooth-Fairy	The-Tooth-Fairy
5	CHN	S04_How-Permanent-Are	How-Permanent-Are
4	CHN	S26_Try-To-Recall	Try-To-Recall
6	ENG	S07_An-Adult-Male	An-Adult-Male
6	ENG	S09_Ralph-Prepared-Red	Ralph-Prepared-Red
4	KOR	S19_Did-Shawn-Catch	Did-Shawn-Catch
4	KOR	S28_The-Small-Boy	The-Small-Boy
4	CHN	S02_Any-Organism-That	Any-Organism-That
1	CHN	S04_Any-Organism-That	Any-Organism-That
6	ENG	S09_How-Oily-Do	How-Oily-Do
1	CHN	S04_Try-To-Recall	Try-To-Recall
6	CHN	S26_A-Monstrous-Shadow	A-Monstrous-Shadow
6	ENG	S08_Gently-Place-Jims	Gently-Place-Jims
4	KOR	S24_Those-Answers-Will	Those-Answers-Will
5	KOR	S19_They-Enjoy-It	They-Enjoy-It
3	CHN	S21_The-Surplus-Shoes	The-Surplus-Shoes
4	CHN	S22_Any-Organism-That	Any-Organism-That
6	ENG	S07_Thus-Technical-Efficiency	Thus-Technical-Efficiency
5	ENG	S08_Thus-Technical-Efficiency	Thus-Technical-Efficiency
3	KOR	S19_He-Ate-Four	He-Ate-Four
6	ENG	S08_Any-Organism-That	Any-Organism-That
3	CHN	S21_They-All-Like	They-All-Like
6	ENG	S05_Did-Shawn-Catch	Did-Shawn-Catch
1	CHN	S04_The-Small-Boy	The-Small-Boy
6	CHN	S02_Nothing-Has-Been	Nothing-Has-Been
6	ENG	S07_In-The-Long	In-The-Long
4	CHN	S22_She-Had-Your	She-Had-Your
4	KOR	S19_Before-Thursdays-Exam	Before-Thursdays-Exam
3	KOR	S24_Of-Course-Dear	Of-Course-Dear
1	KOR	S28_Did-Shawn-Catch	Did-Shawn-Catch
1	CHN	S21_How-Oily-Do	How-Oily-Do
1	CHN	S21_It-Took-Him	It-Took-Him
5	KOR	S25_Try-To-Recall	Try-To-Recall
6	ENG	S03_How-Oily-Do	How-Oily-Do
1	CHN	S21_A-Monstrous-Shadow	A-Monstrous-Shadow
3	CHN	S22_Only-The-Most	Only-The-Most
4	CHN	S26_The-Tooth-Fairy	The-Tooth-Fairy
3	KOR	S28_How-Permanent-Are	How-Permanent-Are
3	KOR	S23_Steve-Collects-Rare	Steve-Collects-Rare
6	CHN	S22_Steve-Collects-Rare	Steve-Collects-Rare
3	KOR	S28_An-Adult-Male	An-Adult-Male
3	CHN	S04_Gently-Place-Jims	Gently-Place-Jims
6	CHN	S22_Are-You-Looking	Are-You-Looking
3	CHN	S21_Too-Much-Curiosity	Too-Much-Curiosity
5	CHN	S02_Thus-Technical-Efficiency	Thus-Technical-Efficiency
3	CHN	S21_How-Permanent-Are	How-Permanent-Are
5	KOR	S19_Are-You-Looking	Are-You-Looking
3	CHN	S26_The-Moisture-In	The-Moisture-In
1	KOR	S23_The-Surplus-Shoes	The-Surplus-Shoes
5	KOR	S25_Pam-Gives-Driving	Pam-Gives-Driving
6	ENG	S03_Only-The-Most	Only-The-Most
6	ENG	S05_Gently-Place-Jims	Gently-Place-Jims
6	CHN	S22_Tradition-Requires-Parental	Tradition-Requires-Parental
6	ENG	S09_A-Monstrous-Shadow	A-Monstrous-Shadow
1	CHN	S04_The-Moisture-In	The-Moisture-In
2	KOR	S28_Steve-Collects-Rare	Steve-Collects-Rare
1	KOR	S23_Dont-Ask-Me	Dont-Ask-Me
3	CHN	S26_In-Every-Major	In-Every-Major
6	ENG	S07_In-Every-Major	In-Every-Major
2	KOR	S24_The-Moisture-In	The-Moisture-In
6	ENG	S07_Tradition-Requires-Parental	Tradition-Requires-Parental
6	CHN	S02_Steve-Collects-Rare	Steve-Collects-Rare
2	KOR	S19_They-All-Like	They-All-Like
6	ENG	S07_Pam-Gives-Driving	Pam-Gives-Driving
2	KOR	S24_He-Shrugged-Casually	He-Shrugged-Casually
6	ENG	S05_Military-Personnel-Are	Military-Personnel-Are
6	ENG	S03_In-Every-Major	In-Every-Major
1	CHN	S21_Did-Shawn-Catch	Did-Shawn-Catch
1	KOR	S23_How-Permanent-Are	How-Permanent-Are
6	KOR	S25_Dont-Ask-Me	Dont-Ask-Me
6	ENG	S03_How-Permanent-Are	How-Permanent-Are
5	KOR	S23_They-All-Like	They-All-Like
4	CHN	S22_Carl-Lives-In	Carl-Lives-In
5	ENG	S07_Dont-Ask-Me	Dont-Ask-Me
4	KOR	S19_He-Shrugged-Casually	He-Shrugged-Casually
1	KOR	S23_The-Moisture-In	The-Moisture-In
4	CHN	S22_An-Adult-Male	An-Adult-Male
6	ENG	S05_They-All-Like	They-All-Like
4	CHN	S21_Pam-Gives-Driving	Pam-Gives-Driving
4	KOR	S25_Those-Answers-Will	Those-Answers-Will
6	ENG	S03_Before-Thursdays-Exam	Before-Thursdays-Exam
6	CHN	S26_Only-The-Most	Only-The-Most
6	ENG	S09_It-Took-Him	It-Took-Him
5	CHN	S02_Carl-Lives-In	Carl-Lives-In
6	ENG	S03_Did-Shawn-Catch	Did-Shawn-Catch
6	ENG	S07_It-Took-Him	It-Took-Him
2	CHN	S04_He-Ate-Four	He-Ate-Four
4	CHN	S21_In-The-Long	In-The-Long
3	KOR	S19_Combine-All-The	Combine-All-The
1	KOR	S24_He-Ate-Four	He-Ate-Four
2	KOR	S25_In-The-Long	In-The-Long
6	KOR	S28_Are-You-Looking	Are-You-Looking
6	ENG	S07_Before-Thursdays-Exam	Before-Thursdays-Exam
6	ENG	S03_The-Surplus-Shoes	The-Surplus-Shoes
4	KOR	S28_Try-To-Recall	Try-To-Recall
3	KOR	S28_He-Shrugged-Casually	He-Shrugged-Casually
1	KOR	S23_Gently-Place-Jims	Gently-Place-Jims
6	ENG	S05_They-Were-Already	They-Were-Already
4	KOR	S24_Continental-Drift-Is	Continental-Drift-Is
4	KOR	S24_Almost-All-Colleges	Almost-All-Colleges
6	ENG	S03_Of-Course-Dear	Of-Course-Dear
1	CHN	S21_Military-Personnel-Are	Military-Personnel-Are
6	CHN	S22_They-Were-Already	They-Were-Already
4	CHN	S04_They-Were-Already	They-Were-Already
4	CHN	S26_Did-Shawn-Catch	Did-Shawn-Catch
4	KOR	S19_A-Monstrous-Shadow	A-Monstrous-Shadow
5	CHN	S26_They-All-Like	They-All-Like
4	ENG	S07_Continental-Drift-Is	Continental-Drift-Is
5	CHN	S04_Almost-All-Colleges	Almost-All-Colleges
4	CHN	S04_How-Oily-Do	How-Oily-Do
3	KOR	S25_Ralph-Prepared-Red	Ralph-Prepared-Red
5	CHN	S21_The-Small-Boy	The-Small-Boy
3	KOR	S23_Gregory-And-Tom	Gregory-And-Tom
5	ENG	S09_Dont-Ask-Me	Dont-Ask-Me
4	KOR	S28_Those-Answers-Will	Those-Answers-Will
6	ENG	S03_They-All-Like	They-All-Like
5	ENG	S05_Are-You-Looking	Are-You-Looking
3	KOR	S23_It-Took-Him	It-Took-Him
4	KOR	S24_Combine-All-The	Combine-All-The
5	CHN	S02_Too-Much-Curiosity	Too-Much-Curiosity
5	KOR	S25_Only-The-Most	Only-The-Most
4	ENG	S05_In-Every-Major	In-Every-Major
1	ENG	S08_She-Had-Your	She-Had-Your
4	CHN	S22_Thus-Technical-Efficiency	Thus-Technical-Efficiency
1	KOR	S23_The-Small-Boy	The-Small-Boy
5	CHN	S26_Dont-Ask-Me	Dont-Ask-Me
5	ENG	S03_Military-Personnel-Are	Military-Personnel-Are
4	KOR	S28_They-All-Like	They-All-Like
5	ENG	S05_Almost-All-Colleges	Almost-All-Colleges
4	CHN	S04_Of-Course-Dear	Of-Course-Dear
3	KOR	S28_In-The-Long	In-The-Long
3	CHN	S22_In-Every-Major	In-Every-Major
4	KOR	S19_Military-Personnel-Are	Military-Personnel-Are
3	CHN	S22_How-Oily-Do	How-Oily-Do
3	ENG	S03_Tradition-Requires-Parental	Tradition-Requires-Parental
3	ENG	S05_An-Adult-Male	An-Adult-Male
4	CHN	S22_They-All-Like	They-All-Like
2	CHN	S04_Did-Shawn-Catch	Did-Shawn-Catch
2	KOR	S25_The-Surplus-Shoes	The-Surplus-Shoes
2	KOR	S24_Try-To-Recall	Try-To-Recall
4	KOR	S23_Of-Course-Dear	Of-Course-Dear
4	CHN	S22_Gregory-And-Tom	Gregory-And-Tom
4	ENG	S08_Did-Shawn-Catch	Did-Shawn-Catch
3	CHN	S04_An-Adult-Male	An-Adult-Male
4	KOR	S28_Military-Personnel-Are	Military-Personnel-Are
4	ENG	S08_Combine-All-The	Combine-All-The
3	KOR	S23_Military-Personnel-Are	Military-Personnel-Are
3	ENG	S08_Are-You-Looking	Are-You-Looking
4	ENG	S03_They-Were-Already	They-Were-Already
4	ENG	S05_Only-The-Most	Only-The-Most
4	KOR	S28_Pam-Gives-Driving	Pam-Gives-Driving
5	ENG	S09_Those-Answers-Will	Those-Answers-Will
3	CHN	S02_Before-Thursdays-Exam	Before-Thursdays-Exam
4	KOR	S24_How-Permanent-Are	How-Permanent-Are
4	KOR	S28_In-Every-Major	In-Every-Major
5	CHN	S02_Continental-Drift-Is	Continental-Drift-Is
4	KOR	S28_Carl-Lives-In	Carl-Lives-In
2	CHN	S02_The-Moisture-In	The-Moisture-In
4	KOR	S28_Ralph-Prepared-Red	Ralph-Prepared-Red
4	ENG	S08_Dont-Ask-Me	Dont-Ask-Me
3	KOR	S24_How-Oily-Do	How-Oily-Do
5	ENG	S05_She-Had-Your	She-Had-Your
4	CHN	S02_It-Took-Him	It-Took-Him
4	KOR	S24_They-All-Like	They-All-Like
4	CHN	S21_Try-To-Recall	Try-To-Recall
4	KOR	S24_Steve-Collects-Rare	Steve-Collects-Rare
4	KOR	S25_The-Small-Boy	The-Small-Boy
3	CHN	S02_Tradition-Requires-Parental	Tradition-Requires-Parental
4	ENG	S09_Combine-All-The	Combine-All-The
4	ENG	S03_It-Took-Him	It-Took-Him
3	KOR	S23_Tradition-Requires-Parental	Tradition-Requires-Parental
4	ENG	S07_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S04_The-Surplus-Shoes	The-Surplus-Shoes
3	ENG	S09_In-The-Long	In-The-Long
3	ENG	S03_She-Had-Your	She-Had-Your
3	KOR	S19_The-Small-Boy	The-Small-Boy
4	ENG	S09_Of-Course-Dear	Of-Course-Dear
2	KOR	S19_It-Took-Him	It-Took-Him
4	ENG	S05_Ralph-Prepared-Red	Ralph-Prepared-Red
2	CHN	S21_Only-The-Most	Only-The-Most
3	KOR	S23_They-Enjoy-It	They-Enjoy-It
5	CHN	S26_It-Took-Him	It-Took-Him
3	CHN	S21_He-Ate-Four	He-Ate-Four
4	ENG	S07_A-Monstrous-Shadow	A-Monstrous-Shadow
4	ENG	S08_Try-To-Recall	Try-To-Recall
4	KOR	S19_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S22_Before-Thursdays-Exam	Before-Thursdays-Exam
4	ENG	S07_The-Small-Boy	The-Small-Boy
4	KOR	S19_Gently-Place-Jims	Gently-Place-Jims
4	ENG	S03_An-Adult-Male	An-Adult-Male
4	KOR	S24_Gregory-And-Tom	Gregory-And-Tom
3	ENG	S08_The-Moisture-In	The-Moisture-In
4	KOR	S19_They-Were-Already	They-Were-Already
4	CHN	S04_Gregory-And-Tom	Gregory-And-Tom
4	ENG	S08_Almost-All-Colleges	Almost-All-Colleges
5	ENG	S03_Nothing-Has-Been	Nothing-Has-Been
3	KOR	S28_Nothing-Has-Been	Nothing-Has-Been
3	CHN	S04_He-Shrugged-Casually	He-Shrugged-Casually
3	CHN	S02_They-All-Like	They-All-Like
4	ENG	S05_Gregory-And-Tom	Gregory-And-Tom
3	CHN	S21_They-Were-Already	They-Were-Already
5	KOR	S25_In-Every-Major	In-Every-Major
4	CHN	S26_Of-Course-Dear	Of-Course-Dear
3	CHN	S21_Any-Organism-That	Any-Organism-That
3	CHN	S21_Nothing-Has-Been	Nothing-Has-Been
3	KOR	S24_Any-Organism-That	Any-Organism-That
4	CHN	S22_Dont-Ask-Me	Dont-Ask-Me
4	CHN	S26_Almost-All-Colleges	Almost-All-Colleges
5	ENG	S09_Ralph-Prepared-Red	Ralph-Prepared-Red
4	ENG	S07_How-Oily-Do	How-Oily-Do
4	ENG	S05_Of-Course-Dear	Of-Course-Dear
4	CHN	S22_The-Small-Boy	The-Small-Boy
3	KOR	S28_They-Were-Already	They-Were-Already
3	KOR	S25_They-Enjoy-It	They-Enjoy-It
5	CHN	S22_Try-To-Recall	Try-To-Recall
3	CHN	S22_Those-Answers-Will	Those-Answers-Will
3	KOR	S25_He-Shrugged-Casually	He-Shrugged-Casually
4	KOR	S25_Too-Much-Curiosity	Too-Much-Curiosity
3	ENG	S07_Gently-Place-Jims	Gently-Place-Jims
4	CHN	S04_Continental-Drift-Is	Continental-Drift-Is
4	KOR	S19_Try-To-Recall	Try-To-Recall
4	KOR	S28_Gregory-And-Tom	Gregory-And-Tom
2	CHN	S04_Steve-Collects-Rare	Steve-Collects-Rare
5	CHN	S02_Are-You-Looking	Are-You-Looking
2	KOR	S23_Almost-All-Colleges	Almost-All-Colleges
2	CHN	S02_The-Small-Boy	The-Small-Boy
2	KOR	S19_The-Tooth-Fairy	The-Tooth-Fairy
4	KOR	S23_Before-Thursdays-Exam	Before-Thursdays-Exam
4	CHN	S22_They-Enjoy-It	They-Enjoy-It
3	CHN	S21_Of-Course-Dear	Of-Course-Dear
4	CHN	S26_Carl-Lives-In	Carl-Lives-In
3	CHN	S04_A-Monstrous-Shadow	A-Monstrous-Shadow
5	ENG	S03_Almost-All-Colleges	Almost-All-Colleges
4	KOR	S19_Gregory-And-Tom	Gregory-And-Tom
3	KOR	S23_Thus-Technical-Efficiency	Thus-Technical-Efficiency
2	ENG	S03_The-Tooth-Fairy	The-Tooth-Fairy
5	ENG	S03_In-The-Long	In-The-Long
5	ENG	S07_Almost-All-Colleges	Almost-All-Colleges
3	ENG	S07_The-Surplus-Shoes	The-Surplus-Shoes
4	ENG	S05_Those-Answers-Will	Those-Answers-Will
4	CHN	S22_It-Took-Him	It-Took-Him
2	KOR	S28_He-Ate-Four	He-Ate-Four
4	ENG	S07_Gregory-And-Tom	Gregory-And-Tom
3	ENG	S03_Thus-Technical-Efficiency	Thus-Technical-Efficiency
4	CHN	S02_He-Ate-Four	He-Ate-Four
4	ENG	S03_A-Monstrous-Shadow	A-Monstrous-Shadow
3	KOR	S19_In-Every-Major	In-Every-Major
4	KOR	S23_In-The-Long	In-The-Long
5	ENG	S09_Carl-Lives-In	Carl-Lives-In
4	ENG	S07_An-Adult-Male	An-Adult-Male
4	CHN	S26_Gently-Place-Jims	Gently-Place-Jims
4	KOR	S25_Did-Shawn-Catch	Did-Shawn-Catch
3	CHN	S02_In-The-Long	In-The-Long
4	KOR	S23_Ralph-Prepared-Red	Ralph-Prepared-Red
5	ENG	S03_Pam-Gives-Driving	Pam-Gives-Driving
3	KOR	S19_Pam-Gives-Driving	Pam-Gives-Driving
4	KOR	S23_Nothing-Has-Been	Nothing-Has-Been
3	ENG	S09_The-Small-Boy	The-Small-Boy
5	ENG	S05_How-Oily-Do	How-Oily-Do
4	KOR	S25_The-Tooth-Fairy	The-Tooth-Fairy
5	ENG	S05_The-Surplus-Shoes	The-Surplus-Shoes
3	CHN	S21_Ralph-Prepared-Red	Ralph-Prepared-Red
3	CHN	S26_He-Shrugged-Casually	He-Shrugged-Casually
5	ENG	S09_Nothing-Has-Been	Nothing-Has-Been
4	CHN	S02_He-Shrugged-Casually	He-Shrugged-Casually
4	CHN	S26_The-Small-Boy	The-Small-Boy
4	KOR	S25_Steve-Collects-Rare	Steve-Collects-Rare
5	KOR	S25_Any-Organism-That	Any-Organism-That
4	CHN	S02_How-Permanent-Are	How-Permanent-Are
5	CHN	S26_Try-To-Recall	Try-To-Recall
4	ENG	S08_Military-Personnel-Are	Military-Personnel-Are
4	ENG	S08_Nothing-Has-Been	Nothing-Has-Been
4	ENG	S08_How-Permanent-Are	How-Permanent-Are
4	KOR	S28_They-Enjoy-It	They-Enjoy-It
4	KOR	S19_Dont-Ask-Me	Dont-Ask-Me
4	KOR	S23_A-Monstrous-Shadow	A-Monstrous-Shadow
3	ENG	S03_The-Moisture-In	The-Moisture-In
4	ENG	S09_They-All-Like	They-All-Like
5	KOR	S23_How-Oily-Do	How-Oily-Do
5	ENG	S07_Try-To-Recall	Try-To-Recall
4	KOR	S28_It-Took-Him	It-Took-Him
4	ENG	S09_Almost-All-Colleges	Almost-All-Colleges
5	ENG	S08_A-Monstrous-Shadow	A-Monstrous-Shadow
4	ENG	S09_The-Moisture-In	The-Moisture-In
4	ENG	S07_Did-Shawn-Catch	Did-Shawn-Catch
3	CHN	S04_In-The-Long	In-The-Long
3	ENG	S08_Carl-Lives-In	Carl-Lives-In
4	CHN	S02_A-Monstrous-Shadow	A-Monstrous-Shadow
5	ENG	S05_Combine-All-The	Combine-All-The
3	ENG	S05_Any-Organism-That	Any-Organism-That
5	ENG	S03_Carl-Lives-In	Carl-Lives-In
3	KOR	S24_Did-Shawn-Catch	Did-Shawn-Catch
5	ENG	S05_Dont-Ask-Me	Dont-Ask-Me
3	ENG	S08_The-Small-Boy	The-Small-Boy
5	ENG	S08_He-Ate-Four	He-Ate-Four
5	ENG	S03_Are-You-Looking	Are-You-Looking
3	ENG	S09_They-Enjoy-It	They-Enjoy-It
2	CHN	S02_Those-Answers-Will	Those-Answers-Will
5	KOR	S23_Too-Much-Curiosity	Too-Much-Curiosity
3	ENG	S08_It-Took-Him	It-Took-Him
5	ENG	S09_In-Every-Major	In-Every-Major
2	ENG	S03_Combine-All-The	Combine-All-The
2	CHN	S04_How-Permanent-Are	How-Permanent-Are
4	KOR	S23_They-Were-Already	They-Were-Already
2	KOR	S28_Before-Thursdays-Exam	Before-Thursdays-Exam
4	CHN	S26_Only-The-Most	Only-The-Most
